id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_30d_in_currency,price_change_percentage_7d_in_currency,zone,suspected_wash_trading,momentum,is_gold,btc_change_24h,btc_change_7d,rs_24h,rs_7d,rs_available,rs_strong_24h,rs_leader_24h,ratio,range,volume_recovery,price_resilience,timeframe_analysis,timeframe_classification,social_analysis,source_range
neiro-3,neiro,Neiro,https://coin-images.coingecko.com/coins/images/39488/large/neiro.jpg?1731449567,9.459e-05,39926426,557,39926426,27904129,9.967e-05,9.072e-05,3.88e-06,4.27293,1685287.0,4.407,420690000000.0,420690000000.0,420690000000.0,0.00301761,-96.85537,2024-11-12T08:05:49.038Z,2.44e-06,3791.56505,2024-08-01T07:00:23.692Z,,2026-05-03T11:59:25.883Z,67.11523758413121,4.015933890708669,strong,False,low,False,0.67055,,3.6023799999999997,,True,False,False,0.6988887259781279,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",50m_range
book-of-meme,bome,BOOK OF MEME,https://coin-images.coingecko.com/coins/images/36071/large/bome.png?1710407255,0.00053524,36936305,595,36936305,17173588,0.00056936,0.00051712,1.812e-05,3.504,1225444.0,3.43157,68999659569.0,68999659569.0,68999659569.0,0.02688878,-98.01301,2024-03-16T13:51:17.648Z,5.848e-05,813.56834,2024-03-14T10:17:29.365Z,,2026-05-03T11:59:25.504Z,39.477953426233334,1.2847949367344405,early_accumulation,False,low,False,0.67055,,2.83345,,True,False,False,0.4649514346386299,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",50m_range
renzo,rez,Renzo,https://coin-images.coingecko.com/coins/images/37327/large/renzo_200x200.png?1714025012,0.00538086,45114639,514,52404780,20510997,0.00539541,0.00474426,0.00056756,11.79145,4517205.0,11.12682,8449295066.351069,9814629224.12962,10000000000.0,0.278213,-98.06513,2024-04-30T11:50:54.665Z,0.00265163,103.01027,2026-02-28T10:11:14.983Z,,2026-05-03T11:59:25.435Z,59.70599167639228,36.194723532419616,early_accumulation,False,low,False,0.67055,,11.120899999999999,,True,False,False,0.4546417184009829,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",50m_range
terrausd,ustc,TerraClassicUSD,https://coin-images.coingecko.com/coins/images/12681/large/UST.png?1696512486,0.00707708,39514483,567,43077068,17607273,0.00770824,0.00690182,0.00015402,2.22475,906603.0,2.34823,5577909284.77066,6080807717.652362,,1.092,-99.3551,2021-01-11T22:30:57.984Z,0.00406362,73.2867,2026-02-06T00:26:24.223Z,,2026-05-03T11:59:23.628Z,61.50074930872436,29.49085865672051,early_accumulation,False,low,False,0.67055,,1.5541999999999998,,True,False,False,0.44559036746096364,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",50m_range
merlin-chain,merl,Merlin Chain,https://coin-images.coingecko.com/coins/images/37118/large/merlin.jpeg?1713352230,0.03530034,43644838,525,74115012,15764781,0.03732954,0.03118455,0.0039403,12.56471,4945651.0,12.77973,1236647716.0,2100000000.0,2100000000.0,1.45,-97.57645,2024-04-19T11:41:13.943Z,0.02130297,64.96194,2026-04-03T19:50:42.218Z,,2026-05-03T11:59:25.259Z,58.589294860675835,-6.22067451538795,early_accumulation,False,low,False,0.67055,,11.89416,,True,False,False,0.3612060835235544,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",50m_range
notcoin,not,Notcoin,https://coin-images.coingecko.com/coins/images/33453/large/rFmThDiD_400x400.jpg?1701876350,0.00039427,39270417,571,40464496,12140917,0.00040575,0.00038389,1.027e-05,2.67386,1115237.0,2.9229,99429447866.9074,102452755868.5205,102456956842.91,0.02836145,-98.61415,2024-06-02T18:00:38.587Z,0.00032676,20.28733,2026-02-28T13:45:06.069Z,,2026-05-03T11:59:25.104Z,11.25640437307452,-7.160292082101829,early_accumulation,False,low,False,0.67055,,2.00331,,True,False,False,0.3091619067859656,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",50m_range
edu-coin,edu,Open Campus,https://coin-images.coingecko.com/coins/images/29948/large/EDU_Logo.png?1696528874,0.04772717,36146235,602,47724584,11026456,0.04933032,0.04739443,-0.001529509286404926,-3.10518,-1159058.515237458,-3.10695,757392361.0,1000000000.0,,1.67,-97.1483,2023-04-29T08:05:57.583Z,0.04149096,15.08096,2026-04-19T10:25:16.201Z,,2026-05-03T11:59:24.718Z,-1.958377313010512,2.134990892385084,early_accumulation,False,low,False,0.67055,,-3.77573,,True,False,False,0.30505130064030184,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",50m_range
snek,snek,Snek,https://coin-images.coingecko.com/coins/images/30496/large/Snek-Square-BG_200x200.png?1768638178,0.00046555,34788854,620,35033428,8032894,0.00046649,0.0004599,4.24e-06,0.91956,367278.0,1.067,74721655311.0,75246967516.0,76715880000.0,0.00895508,-94.80994,2024-12-05T11:50:53.994Z,0.00013847,235.65294,2023-10-20T02:25:36.411Z,,2026-05-03T11:59:24.628Z,6.1667556262926055,-8.229366545468592,early_accumulation,False,low,False,0.67055,,0.24901000000000006,,True,False,False,0.2309042430658969,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",50m_range
memecoin-2,meme,Memecoin,https://coin-images.coingecko.com/coins/images/32528/large/memecoin_%282%29.png?1698912168,0.00056353,35244668,614,38886040,7897292,0.00058493,0.00055693,1.4e-06,0.24944,118785.0,0.33817,62538692416.66666,69000000000.0,69000000000.0,0.056324,-99.00201,2024-03-04T17:30:21.569Z,0.00048566,15.73981,2026-04-05T21:45:02.721Z,,2026-05-03T11:59:25.206Z,9.718565114571613,-3.2939618453803936,early_accumulation,False,low,False,0.67055,,-0.42111,,True,False,False,0.22407054593335934,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",50m_range
ssv-network,ssv,SSV Network,https://coin-images.coingecko.com/coins/images/19155/large/ssv.png?1696518606,2.74,40284392,554,40284392,8972821,2.86,2.73,-0.003005581747371533,-0.10955,12184.77,0.03026,14699173.1,14699173.1,,65.82,-95.84546,2024-03-25T05:21:25.264Z,2.09,31.09598,2026-04-13T08:10:42.294Z,,2026-05-03T11:59:29.795Z,19.107702566399592,-7.732656179549791,early_accumulation,False,low,False,0.67055,,-0.7801,,True,False,False,0.22273691011645402,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",50m_range
