id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_30d_in_currency,price_change_percentage_7d_in_currency,zone,suspected_wash_trading,momentum,is_gold,btc_change_24h,btc_change_7d,rs_24h,rs_7d,rs_available,rs_strong_24h,rs_leader_24h,ratio,range,volume_recovery,price_resilience,timeframe_classification,social_analysis,source_range,quant_score,social_score,final_score,ranking,persistence_count_3d,persistence_count_7d,persistence_count_14d,first_seen,max_persistence_ever,persistence_days,is_confirmed_leader,social_explosion,social_validation,rs_strong
unipeg,upeg,Unipeg,https://coin-images.coingecko.com/coins/images/102173012/large/unipeg.jpg?1777188215,1565.01,15587125,943,15587125,26189023,2933.89,1480.39,84.62,5.71634,775446.0,5.23537,10000.0,10000.0,10000.0,2933.89,-38.99018,2026-05-02T10:50:06.084Z,435.23,311.27196,2026-04-26T17:34:58.726Z,,2026-05-02T21:07:04.413Z,,,breakout,False,low,False,0.7179,,4.9984399999999996,,True,False,False,1.680170204575892,10m_range,False,False,INSUFFICIENT_DATA,"{""should_analyze"": false, ""combined_validation"": ""INSUFFICIENT_DATA""}",10m_range,1.6,0,0.96,1,0,0,0,20260502,0,0,False,False,INSUFFICIENT_DATA,False
aixbt,aixbt,aixbt,https://coin-images.coingecko.com/coins/images/51784/large/3.png?1731981138,0.03499851,34741075,619,34927643,25385258,0.03582587,0.02930296,0.00468811,15.467,4677028.0,15.55688,994658423.1010208,1000000000.0,1000000000.0,0.942578,-96.29434,2025-01-16T11:56:02.862Z,0.01797721,94.29441,2026-02-23T01:30:43.221Z,,2026-05-02T21:04:24.370Z,63.85003450636675,27.568714532348114,strong,False,low,False,0.68052,,14.786480000000001,,True,False,False,0.7306986902391478,50m_range,False,False,INSUFFICIENT_DATA,"{""should_analyze"": false, ""combined_validation"": ""INSUFFICIENT_DATA""}",50m_range,1.1,0,0.66,1,0,0,0,20260502,0,0,False,False,INSUFFICIENT_DATA,False
neiro-3,neiro,Neiro,https://coin-images.coingecko.com/coins/images/39488/large/neiro.jpg?1731449567,9.747e-05,40992630,544,40992630,22710653,9.967e-05,8.884e-05,7.03e-06,7.76747,2943944.0,7.73731,420690000000.0,420690000000.0,420690000000.0,0.00301761,-96.7704,2024-11-12T08:05:49.038Z,2.44e-06,3896.71853,2024-08-01T07:00:23.692Z,,2026-05-02T21:04:23.766Z,80.0497372708869,12.950465276296871,strong,False,low,False,0.68052,,7.08695,,True,False,False,0.554017953959041,50m_range,False,False,INSUFFICIENT_DATA,"{""should_analyze"": false, ""combined_validation"": ""INSUFFICIENT_DATA""}",50m_range,0.6,0,0.36,2,0,0,0,20260502,0,0,False,False,INSUFFICIENT_DATA,False
book-of-meme,bome,BOOK OF MEME,https://coin-images.coingecko.com/coins/images/36071/large/bome.png?1710407255,0.0005619,38791668,582,38791668,15486565,0.00056936,0.00050615,4.658e-05,9.03826,3134329.0,8.79014,68999659569.0,68999659569.0,68999659569.0,0.02688878,-97.90898,2024-03-16T13:51:17.648Z,5.848e-05,861.3961,2024-03-14T10:17:29.365Z,,2026-05-02T21:04:23.290Z,53.22883458203147,9.649606804536274,early_accumulation,False,low,False,0.68052,,8.35774,,True,False,False,0.39922400346383663,50m_range,False,False,INSUFFICIENT_DATA,"{""should_analyze"": false, ""combined_validation"": ""INSUFFICIENT_DATA""}",50m_range,0.1,0,0.06,3,0,0,0,20260502,0,0,False,False,INSUFFICIENT_DATA,False
renzo,rez,Renzo,https://coin-images.coingecko.com/coins/images/37327/large/renzo_200x200.png?1714025012,0.00502444,42312453,531,49152412,15782449,0.00502942,0.00465307,0.00026993,5.67739,2101016.0,5.22492,8448843551.20107,9814629224.12962,10000000000.0,0.278213,-98.20373,2024-04-30T11:50:54.665Z,0.00265163,88.46768,2026-02-28T10:11:14.983Z,,2026-05-02T21:04:26.285Z,36.753266297256474,28.633222399186682,early_accumulation,False,low,False,0.68052,,4.9968699999999995,,True,False,False,0.3729977318970375,50m_range,False,False,INSUFFICIENT_DATA,"{""should_analyze"": false, ""combined_validation"": ""INSUFFICIENT_DATA""}",50m_range,0.1,0,0.06,4,0,0,0,20260502,0,0,False,False,INSUFFICIENT_DATA,False
terrausd,ustc,TerraClassicUSD,https://coin-images.coingecko.com/coins/images/12681/large/UST.png?1696512486,0.00737275,40967778,547,44661324,14616486,0.00760193,0.00620601,0.00114731,18.4294,6304270.0,18.18705,5577947994.327745,6080840946.714266,,1.092,-99.32591,2021-01-11T22:30:57.984Z,0.00406362,81.12984,2026-02-06T00:26:24.223Z,,2026-05-02T21:04:22.213Z,72.72539483433683,38.173202377487456,early_accumulation,False,low,False,0.68052,,17.74888,,True,False,False,0.35678005285031567,50m_range,False,False,INSUFFICIENT_DATA,"{""should_analyze"": false, ""combined_validation"": ""INSUFFICIENT_DATA""}",50m_range,0.1,0,0.06,5,0,0,0,20260502,0,0,False,False,INSUFFICIENT_DATA,False
notcoin,not,Notcoin,https://coin-images.coingecko.com/coins/images/33453/large/rFmThDiD_400x400.jpg?1701876350,0.00040062,39818513,564,41029257,11564980,0.00040575,0.00037845,1.669e-05,4.34634,1617390.0,4.23388,99429447866.9074,102452755868.5205,102456956842.91,0.02836145,-98.58573,2024-06-02T18:00:38.587Z,0.00032676,22.75411,2026-02-28T13:45:06.069Z,,2026-05-02T21:04:23.691Z,15.371416607014343,-1.8698188192277827,early_accumulation,False,low,False,0.68052,,3.6658199999999996,,True,False,False,0.29044228748572304,50m_range,False,False,INSUFFICIENT_DATA,"{""should_analyze"": false, ""combined_validation"": ""INSUFFICIENT_DATA""}",50m_range,0.1,0,0.06,6,0,0,0,20260502,0,0,False,False,INSUFFICIENT_DATA,False
ssv-network,ssv,SSV Network,https://coin-images.coingecko.com/coins/images/19155/large/ssv.png?1696518606,2.84,41716103,537,41716103,8590610,2.86,2.74,0.07913,2.86772,1182679.0,2.91779,14699173.1,14699173.1,,65.82,-95.6884,2024-03-25T05:21:25.264Z,2.09,36.05202,2026-04-13T08:10:42.294Z,,2026-05-02T21:04:22.009Z,27.013420341097184,-1.011179320306179,early_accumulation,False,low,False,0.68052,,2.1872,,True,False,False,0.20593030945388163,50m_range,False,False,INSUFFICIENT_DATA,"{""should_analyze"": false, ""combined_validation"": ""INSUFFICIENT_DATA""}",50m_range,0.1,0,0.06,7,0,0,0,20260502,0,0,False,False,INSUFFICIENT_DATA,False
fakenews,sn66,FakeNews,https://coin-images.coingecko.com/coins/images/66440/large/fakenews-logo.jpg?1749380776,3.83,15503050,998,15503050,5797246,3.91,3.0,0.440394,12.99415,1696556.0,12.2881,4077498.674985476,4077498.674985476,21000000.0,4.72,-19.38005,2026-04-13T14:15:25.467Z,0.413652,819.15288,2025-09-28T12:39:46.672Z,,2026-05-02T21:06:53.552Z,43.674139191526706,7.84290610416547,early_accumulation,False,low,False,0.7179,,12.27625,,True,False,False,0.3739422887754345,10m_range,False,False,INSUFFICIENT_DATA,"{""should_analyze"": false, ""combined_validation"": ""INSUFFICIENT_DATA""}",10m_range,0.1,0,0.06,2,0,0,0,20260502,0,0,False,False,INSUFFICIENT_DATA,False
chill-guy,chillguy,Just a chill guy,https://coin-images.coingecko.com/coins/images/51746/large/Scherm%C2%ADafbeelding_2024-11-15_om_20.57.58.png?1731926037,0.01580805,15797559,989,15797559,5144647,0.01580647,0.01274152,0.00273301,20.9025,2663219.0,20.27676,999944871.686086,999944871.686086,1000000000.0,0.657518,-97.60147,2024-11-27T10:40:57.467Z,0.00604048,161.08507,2024-11-18T12:34:51.762Z,,2026-05-02T21:07:02.822Z,110.25214862709521,27.209355419141986,early_accumulation,False,low,False,0.7179,,20.1846,,True,False,False,0.3256608821654029,10m_range,False,False,INSUFFICIENT_DATA,"{""should_analyze"": false, ""combined_validation"": ""INSUFFICIENT_DATA""}",10m_range,0.1,0,0.06,3,0,0,0,20260502,0,0,False,False,INSUFFICIENT_DATA,False
