id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_30d_in_currency,price_change_percentage_7d_in_currency,zone,suspected_wash_trading,momentum,is_gold,btc_change_24h,btc_change_7d,rs_24h,rs_7d,rs_available,rs_strong_24h,rs_leader_24h,ratio,range,volume_recovery,price_resilience,timeframe_analysis,timeframe_classification,social_analysis,sector,accumulation_score,accumulation_signal,accumulation_slope,is_silent_accumulation,accumulation_reason,source_range,quant_score,social_score,final_score,ranking,persistence_count_3d,persistence_count_7d,persistence_count_14d,first_seen,max_persistence_ever,persistence_days,is_confirmed_leader,social_explosion,social_validation,rs_strong
neiro-3,neiro,Neiro,https://coin-images.coingecko.com/coins/images/39488/large/neiro.jpg?1731449567,9.449e-05,39795486,565,39795486,20706904,9.655e-05,9.317e-05,-1.562290151095e-06,-1.62651,-598874.8016739786,-1.48257,420690000000.0,420690000000.0,420690000000.0,0.00301761,-96.84706,2024-11-12T08:05:49.038Z,2.44e-06,3801.84949,2024-08-01T07:00:23.692Z,,2026-05-03T23:28:45.311Z,69.21366575630495,7.3395827371082305,strong,False,low,False,-0.16252,,-1.46399,,True,False,False,0.5203329844997998,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0.5153083172518165, 'is_candidate': False}, 'medium_term': {'persistence_days': 2, 'volume_recovery_consistent': True, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 14.285714285714285, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": true, ""reason"": ""Valida\u00e7\u00e3o social completa"", ""youtube_velocity"": 1.9459101490553132, ""telegram_spike"": 0.0, ""combined_validation"": ""SOCIAL_EXPLOSION"", ""youtube_data"": {""symbol"": ""neiro"", ""daily_videos"": [4, 1, 0, 0, 1, 2, 0], ""today_videos"": 4, ""avg_7d_videos"": 0.6666666666666666, ""avg_views_per_video"": 14.375, ""avg_likes_per_video"": 2.25, ""avg_comments_per_video"": 2.375, ""total_engagement"": 4.625, ""total_videos_found"": 8, ""videos_with_stats"": 8, ""data_source"": ""real""}, ""telegram_data"": {""symbol"": ""Neiro"", ""mentions_today"": 29, ""mentions_7d_avg"": 29.142857142857142, ""channels_analyzed"": 4, ""data_source"": ""simulation""}, ""youtube_data_quality"": ""real"", ""telegram_data_quality"": ""simulation"", ""data_quality_warning"": true, ""both_simulated"": false}",Meme,0.0,none,0.0,False,Apenas 2 snapshots (mínimo 3),50m_range,0.5,3,1.5,1,0,0,0,20260502,0,2,False,True,SOCIAL_EXPLOSION,False
iexec-rlc,rlc,iExec RLC,https://coin-images.coingecko.com/coins/images/646/large/pL1VuXm.png?1696501840,0.489272,35380468,619,42525348,21885966,0.512913,0.453041,0.0314391,6.86694,2235570.0,6.74484,72382548.06525737,86999784.9868455,86999784.9868455,15.51,-96.84498,2021-05-10T17:59:51.557Z,0.153815,218.15232,2018-12-15T00:00:00.000Z,,2026-05-03T23:28:46.525Z,14.905914221930306,6.499769791419699,strong,False,low,False,-0.16252,,7.029459999999999,,True,True,True,0.6185889344369329,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0.6175219577691963, 'is_candidate': False}, 'medium_term': {'persistence_days': 1, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 7.142857142857142, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": true, ""reason"": ""Valida\u00e7\u00e3o social completa"", ""youtube_velocity"": 1.036522578009505, ""telegram_spike"": 0.0, ""combined_validation"": ""SOCIAL_MODERATE"", ""youtube_data"": {""symbol"": ""rlc"", ""daily_videos"": [30, 7, 3, 14, 10, 11, 8], ""today_videos"": 30, ""avg_7d_videos"": 8.833333333333334, ""avg_views_per_video"": 48346, ""avg_likes_per_video"": 173, ""avg_comments_per_video"": 20, ""total_engagement"": 193, ""data_source"": ""simulation""}, ""telegram_data"": {""symbol"": ""iExec RLC"", ""mentions_today"": 26, ""mentions_7d_avg"": 35.42857142857143, ""channels_analyzed"": 4, ""data_source"": ""simulation""}, ""youtube_data_quality"": ""simulation"", ""telegram_data_quality"": ""simulation"", ""data_quality_warning"": true, ""both_simulated"": true}",DeFi,0.0,none,0.0,False,Apenas 1 snapshots (mínimo 3),50m_range,0.9,1,0.94,2,0,0,0,20260503,0,1,False,False,SOCIAL_MODERATE,True
mubarak,mubarak,Mubarak,https://coin-images.coingecko.com/coins/images/54857/large/DKjv3dc6_400x400.jpg?1742107486,0.01520387,15222028,1014,15222028,18268383,0.01542214,0.01362212,0.001307,9.40497,1325360.0,9.53725,1000000000.0,1000000000.0,1000000000.0,0.211228,-92.79306,2025-03-18T05:06:59.770Z,0.01000671,52.12885,2025-10-10T21:27:11.195Z,,2026-05-03T23:30:45.521Z,36.33199519389886,12.1063035842014,breakout,False,low,False,-0.17053,,9.5755,,True,True,True,1.2001280644077124,10m_range,False,False,"{'short_term': {'has_spike': True, 'momentum_initial': 'low', 'volume_mc_ratio': 1.2001843235565741, 'is_candidate': True}, 'medium_term': {'persistence_days': 1, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 7.142857142857142, 'is_confirmed_leader': False}, 'classification': 'CANDIDATE_INITIAL'}",CANDIDATE_INITIAL,"{""should_analyze"": true, ""reason"": ""Valida\u00e7\u00e3o social completa"", ""youtube_velocity"": 0.1, ""telegram_spike"": 0.0, ""combined_validation"": ""SOCIAL_WEAK"", ""youtube_data"": {""symbol"": ""mubarak"", ""daily_videos"": [0, 0, 1, 3, 2, 3, 1], ""today_videos"": 0, ""avg_7d_videos"": 1.6666666666666667, ""avg_views_per_video"": 3136.3, ""avg_likes_per_video"": 171.2, ""avg_comments_per_video"": 6.0, ""total_engagement"": 177.2, ""total_videos_found"": 10, ""videos_with_stats"": 10, ""data_source"": ""real""}, ""telegram_data"": {""symbol"": ""Mubarak"", ""mentions_today"": 35, ""mentions_7d_avg"": 55.42857142857143, ""channels_analyzed"": 4, ""data_source"": ""simulation""}, ""youtube_data_quality"": ""real"", ""telegram_data_quality"": ""simulation"", ""data_quality_warning"": true, ""both_simulated"": false}",Meme,0.0,none,0.0,False,Apenas 1 snapshots (mínimo 3),10m_range,1.9,-1,0.74,1,0,0,0,20260503,0,1,False,False,SOCIAL_WEAK,True
unipeg,upeg,Unipeg,https://coin-images.coingecko.com/coins/images/102173012/large/unipeg.jpg?1777188215,1764.45,17496624,961,17496624,27221607,2391.9,1032.38,43.75,2.54241,236638.0,1.37102,10000.0,10000.0,10000.0,2933.89,-38.65746,2026-05-02T10:50:06.084Z,435.23,313.51488,2026-04-26T17:34:58.726Z,,2026-05-03T23:30:41.248Z,,194.04816732871151,breakout,False,low,False,-0.17053,,2.7129399999999997,,True,True,True,1.5558205400081753,10m_range,False,False,"{'short_term': {'has_spike': True, 'momentum_initial': 'low', 'volume_mc_ratio': 1.449552178841963, 'is_candidate': True}, 'medium_term': {'persistence_days': 2, 'volume_recovery_consistent': True, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 14.285714285714285, 'is_confirmed_leader': False}, 'classification': 'CANDIDATE_INITIAL'}",CANDIDATE_INITIAL,"{""should_analyze"": true, ""reason"": ""Valida\u00e7\u00e3o social completa"", ""youtube_velocity"": 0.6, ""telegram_spike"": 0.0, ""combined_validation"": ""SOCIAL_WEAK"", ""youtube_data"": {""symbol"": ""upeg"", ""daily_videos"": [1, 1, 0, 0, 0, 2, 0], ""today_videos"": 1, ""avg_7d_videos"": 0.5, ""avg_views_per_video"": 62.75, ""avg_likes_per_video"": 1.0, ""avg_comments_per_video"": 0.5, ""total_engagement"": 1.5, ""total_videos_found"": 4, ""videos_with_stats"": 4, ""data_source"": ""real""}, ""telegram_data"": {""symbol"": ""Unipeg"", ""mentions_today"": 32, ""mentions_7d_avg"": 38.57142857142857, ""channels_analyzed"": 4, ""data_source"": ""simulation""}, ""youtube_data_quality"": ""real"", ""telegram_data_quality"": ""simulation"", ""data_quality_warning"": true, ""both_simulated"": false}",RWA,0.0,none,0.0,False,Apenas 2 snapshots (mínimo 3),10m_range,1.7,-1,0.62,2,0,0,0,20260502,0,2,False,False,SOCIAL_WEAK,True
merlin-chain,merl,Merlin Chain,https://coin-images.coingecko.com/coins/images/37118/large/merlin.jpeg?1713352230,0.04011187,49481852,488,84027074,17168446,0.04026005,0.03498317,0.00392418,10.84395,4730421.0,10.57043,1236647716.0,2100000000.0,2100000000.0,1.45,-97.22823,2024-04-19T11:41:13.943Z,0.02130297,88.66418,2026-04-03T19:50:42.218Z,,2026-05-03T23:28:29.480Z,85.85939991693068,-1.7910089114891652,early_accumulation,False,low,False,-0.16252,,11.00647,,True,True,True,0.3469644992269085,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0.34416463198336883, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Other,0.0,none,0.0,False,Apenas 1 snapshots (mínimo 3),50m_range,0.4,0,0.24,3,0,0,0,20260503,0,0,False,False,NOT_APPLICABLE,True
boba-network,boba,Boba Network,https://coin-images.coingecko.com/coins/images/20285/large/Boba-200x200---white.png?1696519690,0.03214674,15855783,1003,16061391,6353810,0.03469147,0.02285534,0.00907604,39.34013,4470203.0,39.26197,493599306.0,500000000.0,500000000.0,7.93,-99.59418,2021-11-25T20:48:25.017Z,0.01817575,76.94924,2026-03-20T19:40:15.756Z,,2026-05-03T23:30:42.321Z,52.120391658949515,34.82574630890169,early_accumulation,False,low,False,-0.17053,,39.51066,,True,True,True,0.4007250856044132,10m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0.3973265589079772, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",L2,0.0,none,0.0,False,Apenas 1 snapshots (mínimo 3),10m_range,0.4,0,0.24,3,0,0,0,20260503,0,0,False,False,NOT_APPLICABLE,True
gigachad-2,giga,Gigachad,https://coin-images.coingecko.com/coins/images/34755/large/IMG_0015.png?1705957165,0.00206487,19799356,902,19799356,5104576,0.00237978,0.0016656,0.00039264,23.4803,3719420.0,23.13082,9604136902.35,9604136902.35,10000000000.0,0.095127,-97.81572,2025-01-03T16:26:00.996Z,1.244e-05,16599.94474,2024-02-06T19:23:17.592Z,,2026-05-03T23:30:57.919Z,14.698460881672407,17.74882463619436,early_accumulation,False,low,False,-0.17053,,23.65083,,True,True,True,0.2578152541931162,10m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0.25307149929632294, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Meme,0.0,none,0.0,False,Apenas 1 snapshots (mínimo 3),10m_range,0.4,0,0.24,4,0,0,0,20260503,0,0,False,False,NOT_APPLICABLE,True
renzo,rez,Renzo,https://coin-images.coingecko.com/coins/images/37327/large/renzo_200x200.png?1714025012,0.00506247,43266131,522,50257570,35370256,0.00573605,0.00493363,-8.4528319642919e-05,-1.64228,-220026.17021380365,-0.50597,8449295066.351069,9814629224.12962,10000000000.0,0.278213,-98.11124,2024-04-30T11:50:54.665Z,0.00265163,98.17238,2026-02-28T10:11:14.983Z,,2026-05-03T23:28:44.946Z,52.81356415316396,26.09211918740593,strong,False,low,False,-0.16252,,-1.47976,,True,False,False,0.8175044817388456,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0.7864790084049242, 'is_candidate': True}, 'medium_term': {'persistence_days': 1, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 7.142857142857142, 'is_confirmed_leader': False}, 'classification': 'CANDIDATE_INITIAL'}",CANDIDATE_INITIAL,"{""should_analyze"": true, ""reason"": ""Valida\u00e7\u00e3o social completa"", ""youtube_velocity"": 0.1, ""telegram_spike"": 0.0, ""combined_validation"": ""SOCIAL_WEAK"", ""youtube_data"": {""symbol"": ""rez"", ""daily_videos"": [0, 1, 0, 0, 0, 0, 1], ""today_videos"": 0, ""avg_7d_videos"": 0.3333333333333333, ""avg_views_per_video"": 5.0, ""avg_likes_per_video"": 2.0, ""avg_comments_per_video"": 0.5, ""total_engagement"": 2.5, ""total_videos_found"": 2, ""videos_with_stats"": 2, ""data_source"": ""real""}, ""telegram_data"": {""symbol"": ""Renzo"", ""mentions_today"": 43, ""mentions_7d_avg"": 7.571428571428571, ""channels_analyzed"": 4, ""data_source"": ""simulation""}, ""youtube_data_quality"": ""real"", ""telegram_data_quality"": ""simulation"", ""data_quality_warning"": true, ""both_simulated"": false}",DeFi,0.0,none,0.0,False,Apenas 2 snapshots (mínimo 3),50m_range,1.0,-1,0.2,4,0,0,0,20260502,0,1,False,False,SOCIAL_WEAK,False
troll-2,troll,TROLL,https://coin-images.coingecko.com/coins/images/55282/large/Untitled_design.png?1777015928,0.0474488,47564780,498,47564780,24698064,0.053004,0.02460051,0.02036001,75.16026,20646162.0,76.69845,998881506.777736,998881506.777736,1000000000.0,0.282604,-82.88832,2025-08-22T21:48:29.985Z,0.00387003,1149.55701,2025-04-22T03:50:51.686Z,,2026-05-03T23:28:38.080Z,299.4511820535469,135.37234981232103,strong,False,low,False,-0.16252,,75.32278,,True,True,True,0.5192510929305255,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0.5246713067094578, 'is_candidate': False}, 'medium_term': {'persistence_days': 1, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 7.142857142857142, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": true, ""reason"": ""Valida\u00e7\u00e3o social completa"", ""youtube_velocity"": 0.5108256237659907, ""telegram_spike"": 0.0, ""combined_validation"": ""SOCIAL_WEAK"", ""youtube_data"": {""symbol"": ""troll"", ""daily_videos"": [5, 2, 3, 9, 10, 14, 7], ""today_videos"": 5, ""avg_7d_videos"": 7.5, ""avg_views_per_video"": 595.2, ""avg_likes_per_video"": 17.58, ""avg_comments_per_video"": 2.96, ""total_engagement"": 20.54, ""total_videos_found"": 50, ""videos_with_stats"": 50, ""data_source"": ""real""}, ""telegram_data"": {""symbol"": ""TROLL"", ""mentions_today"": 16, ""mentions_7d_avg"": 36.285714285714285, ""channels_analyzed"": 4, ""data_source"": ""simulation""}, ""youtube_data_quality"": ""real"", ""telegram_data_quality"": ""simulation"", ""data_quality_warning"": true, ""both_simulated"": false}",Meme,0.0,none,0.0,False,Apenas 1 snapshots (mínimo 3),50m_range,0.9,-1,0.14,5,0,0,0,20260503,0,1,False,False,SOCIAL_WEAK,True
notcoin,not,Notcoin,https://coin-images.coingecko.com/coins/images/33453/large/rFmThDiD_400x400.jpg?1701876350,0.00040471,40421213,558,41650284,11676565,0.00040975,0.00038744,7.84e-06,1.97494,960245.0,2.43341,99429447866.9074,102452755868.5205,102456956842.91,0.02836145,-98.5624,2024-06-02T18:00:38.587Z,0.00032676,24.77906,2026-02-28T13:45:06.069Z,,2026-05-03T23:28:44.696Z,13.002106348259938,-3.641139706059325,early_accumulation,False,low,False,-0.16252,,2.13746,,True,True,True,0.2888722067791484,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0.28919490323408836, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Meme,0.0,none,0.0,False,Apenas 2 snapshots (mínimo 3),50m_range,0.2,0,0.12,6,0,0,0,20260502,0,0,False,False,NOT_APPLICABLE,True
